createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,unidadproductiva_codigo,materialformula_codigo,material_codigo,ejercicio,porcentaje01,porcentaje02,porcentaje03,porcentaje04,porcentaje05,porcentaje06,porcentaje07,porcentaje08,porcentaje09,porcentaje10,porcentaje11,porcentaje12,escenario,bloqueouser,bloqueoadmin,historico
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,10000261,2025,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,10000290,2025,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,10000291,2025,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,10000292,2025,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,10000294,2025,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,10000297,2025,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,10000298,2025,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,30000000,2025,2.5800,2.5800,2.5800,2.5800,2.5800,2.5800,2.5800,2.5800,2.5800,2.5800,2.5800,2.5800,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000001,30000001,2025,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000000,2025,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,1,f,f,f
