id,createdat,createdby,modifiedat,modifiedby,material_producto_codigo,material_centrologistico_codigo,ejercicio,stockcompra1,stockcompra2,stockcompra3,stockcompra4,stockcompra5,stockcompra6,stockcompra7,stockcompra8,stockcompra9,stockcompra10,stockcompra11,stockcompra12,historico,bloqueouser,bloqueoadmin,escenario
41ae3971-f0f0-4092-89c7-5703c6046b22,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,17000006,6000,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
00f77c1c-9118-4837-a3a3-78bb3831ac3c,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000090,6000,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
cf0fb010-1285-4b4e-8292-fe65af4ac10a,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000008,6010,2025,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,f,f,f,1
ad4d3df7-118a-4fb7-ace8-955d41cadc0e,2025-07-21 14:23:53.222,DEVELOPER,2025-08-27 22:25:03.023,DBULNES,10000290,1000,2024,11000.0000,8800.0000,15400.0000,6600.0000,5500.0000,4400.0000,2200.0000,13200.0000,8800.0000,33000.0000,22000.0000,8800.0000,t,f,f,1
ee0c71e2-15d5-412d-8c4b-e46b62899189,2025-07-21 14:23:53.222,DEVELOPER,2025-08-27 22:25:03.023,DBULNES,10000291,1000,2024,1197.2400,997.7000,598.6200,2115.1240,2112.0000,1980.0000,1100.0000,2640.0000,3300.0000,880.0000,2200.0000,3300.0000,t,f,f,1
8a4feed1-6463-498e-a91d-a7c0dcbdddf4,2025-07-21 14:23:53.222,DEVELOPER,2025-08-27 22:25:03.023,DBULNES,10000292,1000,2024,0.0000,33000.0000,31350.0000,9900.0000,22000.0000,45650.0000,38500.0000,0.0000,33000.0000,58300.0000,39600.0000,33000.0000,t,f,f,1
4e926169-1c01-4f72-8c4c-8f7143f986db,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000008,1000,2025,24532.7900,22084.2600,24492.2500,23657.0200,27416.2700,25387.7600,26464.5400,27883.7800,24037.5900,28895.7900,27687.0000,26082.1400,f,f,f,1
5d810f2e-1829-4b41-85d4-980d5187f242,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000024,1000,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
e9fa5a84-ca27-4780-8975-485367f507cb,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000023,1000,2025,2571.4000,2304.1500,2583.9200,2512.1600,2861.3800,2666.3500,2806.6000,2901.4500,2531.8800,3009.7500,2902.7600,2756.0300,f,f,f,1
fda6dec9-1c53-431b-b2ba-576d145265ce,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000005,6000,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8000.0000,f,f,f,1
