createdat,createdby,modifiedat,modifiedby,listamateriales,fechainiciovalidez,mensaje,fechafinvalidez,producto_codigo,centrologistico_codigo,numerolista,cantidadbase,nodo,contador,componente_codigo,numeroposicion,cantidad,unidadmedidacomp,relevantefabricacion,relevantecalcosto,utilizacion,alternativalista,historico
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000002,00000004,10000013,0020,13.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000003,00000006,10000295,0030,15.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000004,00000008,10000296,0040,5.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000005,00000010,10000000,0050,1906.250,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000006,00000012,10000001,0060,2609.750,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000007,00000014,10000008,0070,11.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000008,00000016,10000004,0080,87.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000009,00000018,10000012,0090,5.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000010,00000020,10000034,0100,88.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000011,00000022,10000071,0110,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000012,00000024,10000006,0120,20.000,LB,t,X,1,1,t
