id,createdat,createdby,modifiedat,modifiedby,sociedadfi_codigo,ejercicio,escenario,centrocostoemisor_codigo,centrocostoreceptor_codigo,plancuenta_codigo,tipodistribucion_codigo,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,bloqueouser,bloqueoadmin
c7ad7c80-d3f3-4662-85a5-b8ebe633078b,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900091,1121201004,S42CFSENCH,AVEDIA,267765.2337,239928.7391,262973.0848,252428.9428,258713.3969,247791.3794,253921.2481,251258.9431,241092.6766,247000.3078,238519.3083,270106.0170,f,f
7bc98766-017f-4b1b-9358-5f596bb8b7f5,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900091,1121201002,S42CFSENCH,AVEDIA,258638.7386,231546.6642,253500.8563,243666.2058,0.0000,257559.0952,264023.2288,261371.7668,250887.6747,257129.4276,246268.9989,252356.7959,f,f
91ee0a52-a91c-4e5d-b2a4-65f02cfb83f3,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1129900091,1121201001,S42CFSENCH,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260269.5981,f,f
59dfd4ec-657f-4db0-a6c6-d80636b96162,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1129900091,1121201006,S42CFSENCH,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261822.9144,f,f
c46ede0c-43f6-40e4-8c62-1b709b15c492,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900091,1121201007,S42CFSENCH,AVEDIA,242246.4000,217655.2000,0.0000,260560.8818,267108.8707,255906.9226,262299.7795,259628.0621,249184.5370,255353.3144,244530.5778,250544.2231,f,f
45d98f22-b37e-4bd5-9b1b-5f3dd5d4e3f5,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1129900091,1121201004,S42CFSENCH,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,267765.2337,f,f
955c96d9-04b7-4eea-bc1a-809bae4d3bd5,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1129900091,1121201005,S42CFSENCH,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,265137.4440,f,f
1c03c2a9-8d2e-40f9-aa30-3250873bb2f7,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1129900099,1121201007,S42CFAGREP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,242246.4000,f,f
96372435-ed63-4cb7-933d-2a10a40fd292,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900099,1121101001,S42CFAGREP,AVEDIA,277134.7765,248470.1380,565981.2290,279650.0000,287029.0000,275890.0000,573091.7688,569447.4604,548079.7500,284903.4333,274066.2500,281500.1500,f,f
562b1bd6-c189-4b14-83cc-e53087d2c95a,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900099,1121201003,S42CFAGREP,AVEDIA,245064.0675,0.0000,262507.1205,251865.6796,258015.2840,246975.3738,252961.9680,250154.5702,239911.5986,245662.7337,235021.2928,241174.4619,f,f
1418b603-7ba0-4527-a034-5eca8430e8c8,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900099,1121101002,S42CFAGREP,AVEDIA,279919.6667,262327.2750,288732.1271,277359.7500,575332.1000,553246.2500,567557.8167,284115.0000,273070.0000,279744.0000,0.0000,0.0000,f,f
84921864-d610-4daa-94cd-d3cc5c970ce4,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900099,1121201005,S42CFAGREP,AVEDIA,265137.4440,237551.1291,260335.0255,249871.5651,256066.2091,245224.0634,251263.7906,248595.7803,239030.4567,267735.2756,257045.9090,263492.9364,f,f
3c6bc50f-e48d-4a16-8b8b-fc9c36f16be5,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900099,1121201001,S42CFAGREP,AVEDIA,260269.5981,233144.5656,255442.7684,245126.6233,251152.2530,242014.2593,270106.0170,267431.0768,256733.3465,263151.1725,252073.7733,258336.2802,f,f
