createdat,createdby,modifiedat,modifiedby,unidadproductiva_codigo,centrocosto_codigo,material_codigo,ejercicio,escenario,operacion,operaciondescripcion,porcentaje,esporcentaje,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,bloqueouser,bloqueoadmin,historico
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000060,2024,1,0040,Fresco,0.0000,"",4283.9590,4501.0880,4360.5880,4879.1200,5823.2560,6154.8220,6725.0400,7767.6170,7719.3880,6723.4400,7028.1760,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000092,2024,1,0010,Corte,0.0000,"",53711.6700,48933.7020,50747.8600,51064.3430,50331.5510,55504.0540,56302.4720,65985.4610,57807.7850,64370.0810,62290.7450,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300001,21000092,2024,1,0020,Tenderizado,20.0000,%,10742.3340,9786.7404,10149.5720,10212.8686,10066.3102,11100.8108,11260.4944,13197.0922,11561.5570,12874.0162,12458.1490,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000092,2024,1,0030,Empaque,0.0000,"",53711.6700,48933.7020,50747.8600,51064.3430,50331.5510,55504.0540,56302.4720,65985.4610,57807.7850,64370.0810,62290.7450,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000092,2024,1,0040,Fresco,0.0000,"",53711.6700,48933.7020,50747.8600,51064.3430,50331.5510,55504.0540,56302.4720,65985.4610,57807.7850,64370.0810,62290.7450,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300001,21000093,2024,1,0010,Tenderizado,18.0000,%,10293.3630,9479.2626,13532.9490,14248.6830,16954.4142,13116.6990,15117.6168,13178.0430,11044.0206,10855.9854,10940.1102,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200002,21000093,2024,1,0020,Deshuese,0.0000,"",57185.3500,52662.5700,75183.0500,79159.3500,94191.1900,72870.5500,83986.7600,73211.3500,61355.6700,60311.0300,60778.3900,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000093,2024,1,0030,Empaque,0.0000,"",57185.3500,52662.5700,75183.0500,79159.3500,94191.1900,72870.5500,83986.7600,73211.3500,61355.6700,60311.0300,60778.3900,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000093,2024,1,0040,Fresco,0.0000,"",57185.3500,52662.5700,75183.0500,79159.3500,94191.1900,72870.5500,83986.7600,73211.3500,61355.6700,60311.0300,60778.3900,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000104,2024,1,0010,Corte,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1200,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200002,21000104,2024,1,0020,Deshuese,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1200,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300002,21000104,2024,1,0030,TENDERIZADO,22.0000,%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4664,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000104,2024,1,0040,Empaque,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1200,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000104,2024,1,0050,Fresco,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1200,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000107,2024,1,0010,Corte,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8200,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200002,21000107,2024,1,0020,Deshuese,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8200,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000107,2024,1,0030,Empaque,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8200,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000107,2024,1,0040,Fresco,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8200,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000121,2024,1,0010,Congelado,0.0000,"",45.8500,50.5000,0.0000,0.0000,50.0000,0.0000,271.2000,12028.6000,19931.1500,0.0000,91.2500,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000160,2024,1,0010,Corte,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000160,2024,1,0020,Empaque,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000160,2024,1,0030,Congelado,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000190,2024,1,0010,Congelado,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,96.0600,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000200,2024,1,0010,Congelado,0.0000,"",124.9500,0.0000,505.6000,629.8500,0.0000,1074.4500,60.6000,4644.2500,650.9500,3293.6000,1460.9000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000201,2024,1,0010,Congelado,0.0000,"",67897.9500,2306.8500,4412.0000,5610.3500,36879.7500,66672.8000,61805.9000,38480.1000,41158.2000,44172.0530,41158.8000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000220,2024,1,0010,Empaque,0.0000,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3408.7500,878.1000,0.0000,0.0000,f,f,t
